"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"FOXR","BT","spawning","km",928.18,913.88,1.6,,"WITHIN_TOLERANCE",,"CLOSED",
"FOXR","BT","rearing","km",1525.02,1504.55,1.4,,"WITHIN_TOLERANCE",,"CLOSED",
"FOXR","BT","lake_rearing","ha",2285.02,2331.03,-2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FOXR","BT","wetland_rearing","ha",3684.09,3698.63,-0.4,,"WITHIN_TOLERANCE",,"CLOSED",
"FOXR","BT","rearing_stream","km",1214.68,1134.75,7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FOXR","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FOXR","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FOXR","RB","spawning","km",811.72,,,,"NOT_APPLICABLE",,,
"FOXR","RB","rearing","km",1313.76,,,,"NOT_APPLICABLE",,,
"FOXR","RB","lake_rearing","ha",2268.14,,,,"NOT_APPLICABLE",,,
"FOXR","RB","wetland_rearing","ha",3257.21,,,,"NOT_APPLICABLE",,,
"FOXR","RB","rearing_stream","km",1069.72,,,,"NOT_APPLICABLE",,,
"FOXR","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FOXR","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FOXR","GR","spawning","km",512.97,,,,"NOT_APPLICABLE",,,
"FOXR","GR","rearing","km",664.13,,,,"NOT_APPLICABLE",,,
"FOXR","GR","lake_rearing","ha",1892.62,,,,"NOT_APPLICABLE",,,
"FOXR","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"FOXR","GR","rearing_stream","km",420.57,,,,"NOT_APPLICABLE",,,
"FOXR","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FOXR","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","BT","spawning","km",1111.41,1102.67,0.8,,"WITHIN_TOLERANCE",,"CLOSED",
"INGR","BT","rearing","km",1736.58,1783.28,-2.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","lake_rearing","ha",2211.8,2428.54,-8.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","wetland_rearing","ha",1515.45,1484.98,2.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","rearing_stream","km",1359.22,1330.36,2.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"INGR","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"INGR","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"INGR","RB","spawning","km",1111.41,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing","km",1689.78,,,,"NOT_APPLICABLE",,,
"INGR","RB","lake_rearing","ha",2211.8,,,,"NOT_APPLICABLE",,,
"INGR","RB","wetland_rearing","ha",1515.45,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing_stream","km",1312.5,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","GR","spawning","km",612.69,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing","km",789.46,,,,"NOT_APPLICABLE",,,
"INGR","GR","lake_rearing","ha",1705.36,,,,"NOT_APPLICABLE",,,
"INGR","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing_stream","km",419.91,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","BT","spawning","km",1004.03,963.66,4.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","rearing","km",1513.07,1512.57,0,,"WITHIN_TOLERANCE",,"CLOSED",
"LOMI","BT","lake_rearing","ha",2919.32,3216.51,-9.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","wetland_rearing","ha",1874.37,1864.2,0.5,,"WITHIN_TOLERANCE",,"CLOSED",
"LOMI","BT","rearing_stream","km",1208.2,1104.32,9.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"LOMI","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"LOMI","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"LOMI","RB","spawning","km",1004.03,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing","km",1521.55,,,,"NOT_APPLICABLE",,,
"LOMI","RB","lake_rearing","ha",2919.32,,,,"NOT_APPLICABLE",,,
"LOMI","RB","wetland_rearing","ha",1874.37,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing_stream","km",1216.69,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","GR","spawning","km",552.45,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing","km",745.92,,,,"NOT_APPLICABLE",,,
"LOMI","GR","lake_rearing","ha",2557.26,,,,"NOT_APPLICABLE",,,
"LOMI","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing_stream","km",442.25,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"LOMI","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"MESI","BT","spawning","km",691.09,677.69,2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"MESI","BT","rearing","km",1077.07,1131.08,-4.8,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"MESI","BT","lake_rearing","ha",1606.41,1776.78,-9.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"MESI","BT","wetland_rearing","ha",906.41,864.21,4.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"MESI","BT","rearing_stream","km",820.14,804.11,2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"MESI","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"MESI","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"MESI","RB","spawning","km",643.21,,,,"NOT_APPLICABLE",,,
"MESI","RB","rearing","km",994.65,,,,"NOT_APPLICABLE",,,
"MESI","RB","lake_rearing","ha",1606.41,,,,"NOT_APPLICABLE",,,
"MESI","RB","wetland_rearing","ha",901.42,,,,"NOT_APPLICABLE",,,
"MESI","RB","rearing_stream","km",746.94,,,,"NOT_APPLICABLE",,,
"MESI","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"MESI","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"MESI","GR","spawning","km",341.32,,,,"NOT_APPLICABLE",,,
"MESI","GR","rearing","km",431.99,,,,"NOT_APPLICABLE",,,
"MESI","GR","lake_rearing","ha",1379.92,,,,"NOT_APPLICABLE",,,
"MESI","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"MESI","GR","rearing_stream","km",202.32,,,,"NOT_APPLICABLE",,,
"MESI","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
